m,k,p,80_Sin_filtro,80_Con_filtro,80_Negativos_real,80_Negativos_filtro,60_Sin_filtro,60_Con_filtro,60_Negativos_real,60_Negativos_filtro,40_Sin_filtro,40_Con_filtro,40_Negativos_real,40_Negativos_filtro,20_Sin_filtro,20_Con_filtro,20_Negativos_real,20_Negativos_filtro
720000,5,0.04612922371898079,75.78731775283813,49.02712297439575,1000,942,89.0968542098999,39.864201068878174,2000,1928,98.37874269485474,28.21993923187256,3000,2863,113.82158946990967,17.87202739715576,4000,
720000,6,0.05572684856903558,75.7849133014679,48.99769127368927,1000,925,89.50865077972412,40.8744957447052,2000,1904,98.36171460151672,29.494020700454712,3000,2765,112.23038482666016,19.241042375564575,4000,
720000,7,0.0673014099567277,76.39635753631592,49.93401765823364,1000,924,91.0580518245697,42.17757487297058,2000,1865,98.4583351612091,30.691709518432617,3000,2696,112.93142509460449,20.732455492019653,4000,
810000,2,0.04975319438039462,76.44818341732025,48.765462040901184,1000,944,91.89854550361633,41.07117962837219,2000,2019,98.54760265350342,28.73996114730835,3000,2905,116.5288257598877,17.567216873168945,4000,
810000,3,0.03779923167801382,76.85731720924377,48.64346957206726,1000,957,89.20635533332825,39.114967346191406,2000,2073,97.72830247879028,26.976792573928833,3000,2982,112.79935836791992,16.42534589767456,4000,
810000,4,0.03467504746250908,77.24289608001709,48.795026779174805,1000,952,90.14591145515442,39.43614912033081,2000,2055,98.2477171421051,26.737632036209106,3000,2973,113.21213245391846,16.524919748306274,4000,
810000,5,0.0400468396602866,76.94417262077332,48.792295837402344,1000,940,89.69647359848022,39.4723140001297,2000,2047,98.07010889053345,26.73561978340149,3000,2976,113.21128225326538,16.54793071746826,4000,3845
810000,6,0.04832508588994867,76.79008102416992,49.07360339164734,1000,928,89.44920063018799,40.35330533981323,2000,2021,98.21759486198425,27.675758361816406,3000,2918,112.56682872772217,17.88211154937744,4000,3745
810000,7,0.057905102014477306,77.23031640052795,50.01944375038147,1000,927,90.79864645004272,41.62527132034302,2000,1986,98.47195196151733,28.819913148880005,3000,2844,112.96018981933594,19.282450914382935,4000,3655
900000,2,0.042261728547771454,77.24783563613892,48.60047507286072,1000,948,92.43230891227722,40.70054602622986,2000,2115,98.63861656188965,27.136598110198975,3000,3037,117.09508800506592,16.36054491996765,4000,4032
900000,3,0.03225124996852381,77.58829069137573,48.56195306777954,1000,965,89.83349752426147,38.775840759277344,2000,2171,97.81566524505615,25.576252937316895,3000,3112,113.22174072265625,15.574766397476196,4000,4116
900000,4,0.029600650325699528,77.94104337692261,48.64240050315857,1000,962,90.8909592628479,39.177310943603516,2000,2153,98.39192008972168,25.502244234085083,3000,3100,113.67013454437256,15.657527208328247,4000,4114
900000,5,0.034150390703200355,77.58467411994934,48.669408321380615,1000,963,91.36612439155579,40.13159370422363,2000,2127,98.69621920585632,26.125261783599854,3000,3049,114.78337097167969,16.234979391098022,4000,4084
900000,6,0.04118190035080946,77.55461430549622,48.80097723007202,1000,951,90.71833848953247,41.25020933151245,2000,2103,98.69659113883972,27.23660707473755,3000,2979,113.48681926727295,17.52706003189087,4000,3987
900000,7,0.04983341204346651,77.8951940536499,49.69311547279358,1000,951,92.25550699234009,42.445560693740845,2000,2067,99.05989265441895,28.572431564331055,3000,2902,114.7032265663147,18.933927536010742,4000,3894
